,rt_score,rt_avg_rating,rt_audience_score,rt_user_rating,rt_avg_aud_rating,rt_fresh,rt_rotten
1199,0%,6/10,33%,865,2.5/5,0,34
1200,62%,1/10,89%,"17,860",4.4/5,213,133
1201,96%,9/10,76%,"3,435",3.9/5,315,14
1202,90%,1/10,80%,"15,993",4.1/5,403,45
1203,81%,4/10,95%,"3,723",4.4/5,215,52
1204,0,0,0,0,0,0,0
1205,81%,7/10,94%,"2,267",4.6/5,40,9
1206,85%,6/10,91%,"51,037",4.5/5,349,63
1207,98%,2/10,0,"47,367",0,50,1
1208,70%,9/10,95%,322,4.7/5,7,3
1209,94%,6/10,94%,"1,830,714",4.4/5,312,20
1210,91%,2/10,98%,"884,696",4.4/5,61,6
1211,71%,7/10,85%,"173,373",4.1/5,243,97
1212,91%,4/10,86%,"21,574",4.2/5,333,33
1213,86%,1/10,91%,"569,017",4.2/5,298,47
1214,94%,1/10,96%,"1,125,719",4.2/5,78,5
1215,0,0,0,0,0,0,0
1216,88%,8/10,87%,"127,446",4.1/5,295,42
1217,82%,4/10,94%,"355,343",4/5,79,17
1218,98%,3/10,98%,"732,022",4.4/5,86,2
1219,98%,7/10,92%,987,4.5/5,106,2
1220,72%,2/10,95%,"1,243,857",4.1/5,66,26
1221,95%,2/10,96%,"825,430",4.1/5,71,4
1222,91%,2/10,95%,"1,355,431",4.1/5,208,20
1223,87%,2/10,81%,"58,211",4.1/5,344,51
1224,84%,7/10,88%,"18,357",4.2/5,144,27
1225,99%,8/10,90%,"1,149",4.3/5,177,2
1226,0,0,0,0,0,0,0
1227,0,0,0,0,0,0,0
1228,96%,3/10,89%,"390,605",4.3/5,307,13
1229,87%,8/10,90%,"1,210,158",4.3/5,307,47
1230,98%,3/10,95%,"1,304",4.7/5,112,2
1231,88%,6/10,85%,"33,323,891",3.6/5,126,18
1232,75%,7/10,93%,"45,065",4.3/5,91,31
1233,0,0,0,0,0,0,0
1234,97%,9/10,97%,"410,783",4.3/5,90,3
1235,91%,2/10,94%,"736,787",4.1/5,249,26
1236,88%,8/10,87%,"774,411",4/5,279,37
1237,91%,8/10,92%,"253,206",4.4/5,279,27
1238,0,0,0,0,0,0,0
1239,91%,3/10,91%,"1,069,586",3.6/5,112,11
1240,93%,9/10,90%,"90,900",4.3/5,350,26
1241,93%,7/10,86%,"34,679,279",3.7/5,252,18
1242,96%,7/10,95%,"845,930",4.1/5,85,4
1243,0,0,0,0,0,0,0
1244,95%,6/10,91%,"635,858",4.1/5,217,12
1245,97%,6/10,85%,"126,497",4.2/5,382,13
1246,84%,7/10,90%,"186,128",4.3/5,267,52
1247,91%,8/10,91%,"130,662",4.3/5,318,31
1248,96%,9/10,97%,"428,343",4.3/5,87,4
1249,,,87%,113,4.1/5,0,0
1250,30%,2/10,Average Rating:,591,N/A,6,14
1251,0,0,0,0,0,0,0
1252,25%,2/10,41%,"83,492",2.9/5,67,199
1253,60%,2/10,82%,"6,797",3.6/5,3,2
1254,20%,2/10,17%,"1,241",1.8/5,3,12
1255,0,0,0,0,0,0,0
1256,6%,4/10,26%,"6,229",2.3/5,2,33
1257,12%,1/10,37%,"5,434",2.6/5,21,151
1258,0,0,0,0,0,0,0
1259,,,28%,160,2.2/5,0,0
1260,0,0,0,0,0,0,0
1261,0,0,0,0,0,0,0
1262,11%,3/10,48%,"27,376",3/5,21,165
1263,15%,7/10,43%,"324,383",3.1/5,32,176
1264,0,0,0,0,0,0,0
