,title_id,title,runtime,genre,certificate,imdb_rating,gross,year,votes,director_actor,metascore
2486,tt2479478,The Ridiculous 6,['119'],"Comedy, Western",TV-14,4.8,,(2015),37493,"Director:
Frank Coraci
| 
    Stars:
Adam Sandler, 
Terry Crews, 
Jorge Garcia, 
Taylor Lautner",
2487,tt4976192,211,['86'],"Action, Crime, Drama",R,4.4,,(2018),4143,"Director:
York Alec Shackleton
| 
    Stars:
Nicolas Cage, 
Sophie Skelton, 
Michael Rainey Jr., 
Dwayne Cameron",
2488,tt0360556,Fahrenheit 451,['100'],"Drama, Sci-Fi, Thriller",TV-14,4.9,,(2018),13248,"Director:
Ramin Bahrani
| 
    Stars:
Michael B. Jordan, 
Aaron Davis, 
Cindy Katz, 
Michael Shannon",
2489,tt4575328,2036 Origin Unknown,['94'],"Action, Sci-Fi, Thriller",TV-14,4.5,,(2018),5423,"Director:
Hasraf Dulull
| 
    Stars:
Katee Sackhoff, 
Ray Fearon, 
Julie Cox, 
Steven Cree",
2490,tt2467046,Left Behind,['110'],"Action, Drama, Fantasy",PG-13,3.1,['14.00'],(I) (2014),32433,"Director:
Vic Armstrong
| 
    Stars:
Nicolas Cage, 
Lea Thompson, 
Cassi Thomson, 
Chad Michael Murray",
2491,tt1467304,The Human Centipede (First Sequence),['92'],Horror,R,4.4,['0.18'],(2009),66709,"Director:
Tom Six
| 
    Stars:
Dieter Laser, 
Ashley C. Williams, 
Ashlynn Yennie, 
Akihiro Kitamura",
2492,tt8478602,Gojira: hoshi wo kû mono,['91'],"Animation, Action, Adventure",,4.9,,(2018),1629,"Directors:
Hiroyuki Seshita, 
Kôbun Shizuno
| 
    Stars:
Mamoru Miyano, 
Takahiro Sakurai, 
Kana Hanazawa, 
Tomokazu Sugita",
2493,tt2386237,Malevolent,['89'],Horror,TV-MA,4.8,,(III) (2018),6234,"Director:
Olaf de Fleur Johannesson
| 
    Stars:
Florence Pugh, 
Ben Lloyd-Hughes, 
Scott Chambers, 
Georgina Bevan",
2494,tt4030600,The Bye Bye Man,['96'],"Drama, Fantasy, Horror",PG-13,4.3,['22.38'],(2017),16458,"Director:
Stacy Title
| 
    Stars:
Douglas Smith, 
Lucien Laviscount, 
Cressida Bonas, 
Michael Trucco",
2495,tt7608028,The Open House,['94'],"Horror, Thriller",TV-MA,3.3,,(2018),23243,"Directors:
Matt Angel, 
Suzanne Coote
| 
    Stars:
Dylan Minnette, 
Piercey Dalton, 
Patricia Bethune, 
Sharif Atkins",
2496,tt1564585,Skyline,['92'],"Action, Sci-Fi, Thriller",PG-13,4.4,['21.37'],(2010),83028,"Directors:
Colin Strause, 
Greg Strause
| 
    Stars:
Eric Balfour, 
Donald Faison, 
Scottie Thompson, 
Brittany Daniel",
2497,tt1213644,Disaster Movie,['87'],Comedy,PG-13,1.9,['14.19'],(2008),81766,"Directors:
Jason Friedberg, 
Aaron Seltzer
| 
    Stars:
Carmen Electra, 
Vanessa Lachey, 
Nicole Parker, 
Matt Lanter",
2498,tt3838992,Yoga Hosers,['88'],"Action, Comedy, Fantasy",PG-13,4.3,,(2016),10138,"Director:
Kevin Smith
| 
    Stars:
Lily-Rose Depp, 
Harley Quinn Smith, 
Johnny Depp, 
Adam Brody",
2499,tt1901024,Dark Crimes,['92'],"Crime, Drama, Thriller",R,4.7,,(2016),7440,"Director:
Alexandros Avranas
| 
    Stars:
Jim Carrey, 
Marton Csokas, 
Charlotte Gainsbourg, 
Kati Outinen",
2500,tt1727824,Bohemian Rhapsody,['134'],"Biography, Drama, Music",PG-13,8.2,['206.74'],(2018),220348,"Director:
Bryan Singer
| 
    Stars:
Rami Malek, 
Lucy Boynton, 
Gwilym Lee, 
Ben Hardy",
2501,tt6155172,Roma,['135'],Drama,R,8.0,,(2018),64331,"Director:
Alfonso Cuarón
| 
    Stars:
Yalitza Aparicio, 
Marina de Tavira, 
Diego Cortina Autrey, 
Carlos Peralta",96
2502,tt1517451,A Star Is Born,['136'],"Drama, Music, Romance",R,8.0,['206.91'],(2018),161418,"Director:
Bradley Cooper
| 
    Stars:
Lady Gaga, 
Bradley Cooper, 
Sam Elliott, 
Greg Grunberg",88
2503,tt6966692,Green Book,['130'],"Biography, Comedy, Drama",PG-13,8.3,['51.50'],(2018),41587,"Director:
Peter Farrelly
| 
    Stars:
Viggo Mortensen, 
Mahershala Ali, 
Linda Cardellini, 
Sebastian Maniscalco",70
2504,tt4633694,Spider-Man: Into the Spider-Verse,['117'],"Animation, Action, Adventure",PG,8.7,['170.88'],(2018),89749,"Directors:
Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman
| 
    Stars:
Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali",87
2505,tt7961060,Dragon Ball Super: Broly,['100'],"Animation, Action, Fantasy",PG,8.4,['29.10'],(2018),9263,"Director:
Tatsuya Nagamine
| 
    Stars:
Masako Nozawa, 
Aya Hisakawa, 
Ryô Horikawa, 
Toshio Furukawa",
2506,tt4154756,Avengers: Infinity War,['149'],"Action, Adventure, Fantasy",PG-13,8.5,['678.82'],(2018),578010,"Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans",68
2507,tt2386490,How to Train Your Dragon: The Hidden World,['104'],"Animation, Action, Adventure",PG,8.1,,(2019),5475,"Director:
Dean DeBlois
| 
    Stars:
Cate Blanchett, 
Gerard Butler, 
Kit Harington, 
Jonah Hill",72
2508,tt8291224,Uri: The Surgical Strike,['138'],"Action, Drama, War",Not Rated,9.1,['2.97'],(2019),15814,"Director:
Aditya Dhar
| 
    Stars:
Vicky Kaushal, 
Paresh Rawal, 
Yami Gautam, 
Mohit Raina",
2509,tt0468569,The Dark Knight,['152'],"Action, Crime, Drama",PG-13,9.0,['534.86'],(2008),2015091,"Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",84
2510,tt0111161,The Shawshank Redemption,['142'],Drama,R,9.3,['28.34'],(1994),2047826,"Director:
Frank Darabont
| 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler",80
2511,tt0816692,Interstellar,['169'],"Adventure, Drama, Sci-Fi",PG-13,8.6,['188.02'],(2014),1255406,"Director:
Christopher Nolan
| 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy",74
2512,tt5027774,"Three Billboards Outside Ebbing, Missouri",['115'],"Comedy, Crime, Drama",R,8.2,['54.51'],(2017),317883,"Director:
Martin McDonagh
| 
    Stars:
Frances McDormand, 
Woody Harrelson, 
Sam Rockwell, 
Caleb Landry Jones",88
